Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2026-04-29,,Iran,IRN,Tehran Province,,,censored,Education Building ,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,129340,2026-04-25,2026-05-06
2026-04-21,,Lebanon,LBN,Nabatieh Governorate,,,censored,Education Building ,Foreign Forces: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,129330,2026-04-24,2026-05-06
2026-04-21,,Pakistan,PAK,Balochistan,,,censored,Education Building ,Police,Pakistan Inter-Services Intelligence,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,1,NoInformation,0,0,130511,2026-05-08,2026-05-08
2026-04-21,,Ukraine,UKR,Donetsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Shelling,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130561,2026-05-08,2026-05-14
2026-04-21,,Ukraine,UKR,Sumy Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,131043,2026-05-11,2026-05-14
2026-04-20,,Ukraine,UKR,Kharkiv Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,Pre-School,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130563,2026-05-08,2026-05-14
2026-04-20,,Cameroon,CMR,Northwest,,,censored,Education Building ,Government: Military,Cameroon Armed Forces,Arson,School: No Further Details,1,0,0,1,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130608,2026-05-10,2026-05-14
2026-04-20,,DRC,COD,South Kivu,,,censored,Education Building ,NSA,Wazalendo (DRC local militia),Fist and Foot,Primary School,1,0,0,0,1,0,True,0,1,1,0,NoInformation,1,0,0,0,,0,0,131067,2026-05-12,2026-05-14
2026-04-19,,OPT,PSE,West Bank,,,censored,Education Building ,Government: Military,Israeli Defence Forces,"Tasers, Live and Rubber Bullets",Primary School,1,0,0,0,0,0,True,0,0,0,0,,1,0,1,0,,0,0,129507,2026-04-29,2026-05-08
2026-04-19,,Ukraine,UKR,Chernihiv Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130565,2026-05-08,2026-05-14
2026-04-19,,Yemen,YEM,Ibb Governorate,,,censored,Unspecified Location,NSA,Shia al-Houthi rebels,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,130589,2026-05-08,2026-05-14
2026-04-19,,Yemen,YEM,Ad Dali' Governorate,,,censored,Livelihood Activity,NSA,Shia al-Houthi rebels,Unspecified IED,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,130994,2026-05-11,2026-05-14
2026-04-18,,Myanmar,MMR,Chin,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130534,2026-05-08,2026-05-14
2026-04-18,,Yemen,YEM,'Amran Governorate,,,censored,Home,NSA,Shia al-Houthi rebels,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,130590,2026-05-08,2026-05-14
2026-04-18,,Yemen,YEM,Al Bayda' Governorate,,,censored,Education Building ,NSA,Shia al-Houthi rebels,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130594,2026-05-08,2026-05-14
2026-04-16,,Lebanon,LBN,South Governorate,,,censored,Education Building ,Foreign Forces: Military,Israeli Defence Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,129328,2026-04-24,2026-05-06
2026-04-16,,Ukraine,UKR,Dnipropetrovsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130567,2026-05-08,2026-05-14
2026-04-16,,Yemen,YEM,Hajjah Governorate,,,censored,Home,NSA,Shia al-Houthi rebels,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,130595,2026-05-08,2026-05-14
2026-04-14,,Pakistan,PAK,Khyber Pakhtunkhwa,,,censored,Education Building ,NSA,TTP Tehrik-i-Taliban Pakistan,Unspecified IED,Primary School,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130549,2026-05-08,2026-05-14
2026-04-14,,Ukraine,UKR,Donetsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Shelling,Pre-School,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130571,2026-05-08,2026-05-14
2026-04-14,,Turkey,TUR,Central Anatolia Region,,,censored,Education Building ,Civilian,Students,Firearms,School: No Further Details,1,0,0,0,0,0,True,0,4,0,0,,16,0,10,0,,0,0,130605,2026-05-09,2026-05-14
2026-04-14,,DRC,COD,North Kivu,,,censored,On Way To or From School,NSA,March 23 Movement,Firearms,Not Applicable,0,0,0,0,0,0,False,0,1,0,1,NoInformation,0,0,0,0,,0,0,130642,2026-05-11,2026-05-14
2026-04-13,,OPT,PSE,Gaza Strip,,,censored,Education Building ,Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,True,0,0,0,0,,3,0,0,0,,0,0,129395,2026-04-27,2026-05-08
2026-04-13,,OPT,PSE,West Bank,,,censored,Education Building ,Government: Military,Israeli Defence Forces,"Tasers, Live and Rubber Bullets",School: No Further Details,0,0,0,0,0,0,True,0,0,0,0,,2,0,1,0,,0,0,129467,2026-04-28,2026-05-08
2026-04-13,,Myanmar,MMR,Kayin State,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130537,2026-05-08,2026-05-14
2026-04-13,,Ukraine,UKR,Donetsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130572,2026-05-08,2026-05-14
2026-04-13,,Ukraine,UKR,Kharkiv Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130573,2026-05-08,2026-05-14
2026-04-13,,Ukraine,UKR,Dnipropetrovsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130574,2026-05-08,2026-05-14
2026-04-13,,DRC,COD,Haut-Katanga,,,censored,Unspecified Location,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,130641,2026-05-11,2026-05-14
2026-04-13,,Ethiopia,ETH,Amhara Region,,,censored,Unspecified Location,Government: Military,Ethiopian National Defense Forces,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,131076,2026-05-12,2026-05-14
2026-04-12,,OPT,PSE,West Bank,,,censored,Education Building ,Government: Military,Israeli Defence Forces,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,0,,0,0,1,0,,0,0,129466,2026-04-28,2026-05-06
2026-04-11,,OPT,PSE,Gaza Strip,,,censored,Education Building ,Government: Military,Israeli Defence Forces,Other Weapon,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,129392,2026-04-27,2026-05-08
2026-04-10,,Sudan,SDN,North Darfur,,,censored,Education Building ,Government: Military,Sudanese Armed Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130552,2026-05-08,2026-05-14
2026-04-10,,Ukraine,UKR,Sumy Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,131040,2026-05-11,2026-05-14
2026-04-09,,OPT,PSE,Gaza Strip,,,censored,Education Building ,Government: Military,Israeli Defence Forces,Firearms,School: No Further Details,1,0,0,0,0,0,True,0,0,0,0,,1,0,0,0,,0,0,129349,2026-04-25,2026-05-10
2026-04-09,,OPT,PSE,West Bank,,,censored,Unspecified Location,Government: Military,Israeli Defence Forces,Firearms,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,129420,2026-04-28,2026-05-08
2026-04-09,,Ukraine,UKR,Zaporizhia Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130576,2026-05-08,2026-05-14
2026-04-08,,Lebanon,LBN,Beirut Governorate,,,censored,Home,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Plane,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,2,0,0,,0,0,129324,2026-04-24,2026-05-06
2026-04-08,,Yemen,YEM,Dhamar Governorate,,,censored,Unspecified Location,NSA,Shia al-Houthi rebels,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,130591,2026-05-08,2026-05-14
2026-04-08,,Yemen,YEM,Amanat Al Asimah,,,censored,Home,NSA,Shia al-Houthi rebels,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,NoInformation,0,0,0,0,,0,0,130597,2026-05-08,2026-05-14
2026-04-08,,Ukraine,UKR,Dnipropetrovsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,True,0,2,0,0,,5,0,1,0,,0,0,130631,2026-05-10,2026-05-14
2026-04-07,,Iran,IRN,Qom Province,,,censored,Education Building ,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Drone,University,0,1,0,0,0,1,True,0,0,0,0,,2,1,1,0,,0,0,130345,2026-05-04,2026-05-14
2026-04-07,,Iran,IRN,Kermanshah Province,,,censored,Education Building ,Foreign Forces: Military,Israeli Defence Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130347,2026-05-04,2026-05-14
2026-04-07,,Ukraine,UKR,Dnipropetrovsk Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130578,2026-05-08,2026-05-14
2026-04-07,,Ukraine,UKR,Rivne Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Missile,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130626,2026-05-10,2026-05-14
2026-04-07,,Ukraine,UKR,Kherson Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130627,2026-05-10,2026-05-14
2026-04-06,,Iran,IRN,Tehran Province,,,censored,Education Building ,Foreign Forces: Military,"Israeli Defence Forces, US Military",Aerial Bomb: Plane,University,0,1,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,128646,2026-04-13,2026-04-23
2026-04-06,,OPT,PSE,Gaza Strip,,,censored,Education Building ,Government: Military,Israeli Defence Forces,Firearms,School: No Further Details,1,0,0,0,0,1,True,0,0,0,0,,11,0,0,0,,0,0,129347,2026-04-25,2026-05-10
2026-04-06,,OPT,PSE,West Bank,,,censored,Education Building ,Civilian,Israeli settlers,Firearms,School: No Further Details,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,129400,2026-04-27,2026-05-08
2026-04-06,,Ukraine,UKR,Odesa Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,Pre-School,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130579,2026-05-08,2026-05-14
2026-04-06,,Ukraine,UKR,Kharkiv Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130580,2026-05-08,2026-05-14
2026-04-06,,Ukraine,UKR,Kharkiv Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,130628,2026-05-10,2026-05-14
2026-04-06,,Ethiopia,ETH,Amhara Region,,,censored,Education Building ,Government: Military,Ethiopian National Defense Forces,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,True,0,0,0,0,,1,0,0,0,,0,0,131074,2026-05-12,2026-05-14
2026-04-06,,Ethiopia,ETH,Amhara Region,,,censored,Education Building ,Government: Military,Ethiopian National Defense Forces,Aerial Bomb: Drone,Primary School,1,0,0,0,0,1,True,0,0,0,0,,1,0,0,0,,0,0,131075,2026-05-12,2026-05-14
2026-04-05,,Iran,IRN,Isfahan Province,,,censored,Education Building ,Multiple,"Israeli Defence Forces, US Military",Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,True,0,0,0,0,,2,1,1,0,,0,0,130344,2026-05-04,2026-05-14
2026-04-05,,Ukraine,UKR,Chernihiv Oblast,,,censored,Education Building ,Foreign Forces: Military,Armed Forces of the Russian Federation,Aerial Bomb: Drone,School: No Further Details,1,0,0,0,0,1,True,0,0,0,0,,2,0,0,0,,0,0,130625,2026-05-10,2026-05-14
